model_id,provider,tested
claude-sonnet-4-6,anthropic,yes
claude-opus-4-6,anthropic,yes
gemini-2.5-pro,gemini,no
gemini-2.5-flash,gemini,no
gemini-3.1-pro-preview,gemini,no
gemini-3.1-flash-lite-preview,gemini,no
deepseek-ai/deepseek-v3.2,nvidia,no
google/gemma-4-31b-it,nvidia,yes
openai/gpt-oss-120b,nvidia,yes
moonshotai/kimi-k2-instruct-0905,nvidia,yes
meta/llama-3.1-405b-instruct,nvidia,yes
meta/llama-4-maverick-17b-128e-instruct,nvidia,yes
mistralai/mistral-large-3-675b-instruct-2512,nvidia,yes
meta/llama-3.2-1b-instruct,nvidia,yes
gemini-3-flash-preview,gemini,no
gpt-5.1,openai,yes
